Day,Hour,Dir,Spd,Temp,Radiation,date
0,1,170.0,0.073825503,0.80859375,0.0,2023-06-01 01:00:00
0,2,170.0,0.100671141,0.8046875,0.0,2023-06-01 02:00:00
0,3,230.0,0.040268456,0.82421875,0.0,2023-06-01 03:00:00
0,4,280.0,0.040268456,0.8046875,0.0,2023-06-01 04:00:00
0,5,290.0,0.026845638,0.79296875,0.0,2023-06-01 05:00:00
0,6,290.0,0.0,0.7890625,0.0,2023-06-01 06:00:00
0,7,270.0,0.0,0.80859375,0.054755043,2023-06-01 07:00:00
0,8,290.0,0.046979866,0.84765625,0.236311239,2023-06-01 08:00:00
0,9,290.0,0.040268456,0.88671875,0.461095101,2023-06-01 09:00:00
0,10,270.0,0.127516779,0.8984375,0.677233429,2023-06-01 10:00:00
0,11,270.0,0.154362416,0.93359375,0.838616715,2023-06-01 11:00:00
0,12,120.0,0.187919463,0.94140625,0.956772334,2023-06-01 12:00:00
0,13,270.0,0.22147651,0.9609375,1.0,2023-06-01 13:00:00
0,14,270.0,0.187919463,0.9609375,0.971181556,2023-06-01 14:00:00
0,15,270.0,0.208053691,0.98046875,0.844380403,2023-06-01 15:00:00
0,16,280.0,0.187919463,0.9453125,0.680115274,2023-06-01 16:00:00
0,17,280.0,0.134228188,0.9609375,0.478386167,2023-06-01 17:00:00
0,18,220.0,0.100671141,0.91796875,0.239193084,2023-06-01 18:00:00
0,19,180.0,0.067114094,0.87890625,0.037463977,2023-06-01 19:00:00
0,20,200.0,0.11409396,0.85546875,0.0,2023-06-01 20:00:00
0,21,230.0,0.053691275,0.85546875,0.0,2023-06-01 21:00:00
0,22,200.0,0.033557047,0.85546875,0.0,2023-06-01 22:00:00
0,23,220.0,0.093959732,0.84765625,0.0,2023-06-01 23:00:00
0,24,220.0,0.046979866,0.83984375,0.0,2023-06-02 00:00:00
1,1,270.0,0.013422819,0.8359375,0.0,2023-06-02 01:00:00
1,2,290.0,0.053691275,0.80859375,0.0,2023-06-02 02:00:00
1,3,270.0,0.040268456,0.8203125,0.0,2023-06-02 03:00:00
1,4,280.0,0.033557047,0.81640625,0.0,2023-06-02 04:00:00
1,5,290.0,0.053691275,0.80078125,0.0,2023-06-02 05:00:00
1,6,290.0,0.040268456,0.80078125,0.0,2023-06-02 06:00:00
1,7,270.0,0.0,0.8203125,0.04610951,2023-06-02 07:00:00
1,8,280.0,0.040268456,0.8515625,0.23054755,2023-06-02 08:00:00
1,9,290.0,0.10738255,0.88671875,0.463976945,2023-06-02 09:00:00
1,10,280.0,0.120805369,0.90625,0.642651297,2023-06-02 10:00:00
1,11,270.0,0.167785235,0.92578125,0.81556196,2023-06-02 11:00:00
