date,Day,Hour,Dir,Spd,Radiation,Temp
2023-06-01 01:00:00,0,1,180.0,0.205882353,0.0,0.774744027
2023-06-01 02:00:00,0,2,170.0,0.12745098,0.0,0.774744027
2023-06-01 03:00:00,0,3,180.0,0.098039216,0.0,0.764505119
2023-06-01 04:00:00,0,4,180.0,0.058823529,0.0,0.764505119
2023-06-01 05:00:00,0,5,170.0,0.117647059,0.0,0.757679181
2023-06-01 06:00:00,0,6,180.0,0.039215686,0.002881844,0.76109215
2023-06-01 07:00:00,0,7,170.0,0.098039216,0.054755043,0.781569966
2023-06-01 08:00:00,0,8,180.0,0.098039216,0.227665706,0.819112628
2023-06-01 09:00:00,0,9,180.0,0.254901961,0.4870317,0.860068259
2023-06-01 10:00:00,0,10,120.0,0.225490196,0.489913545,0.863481229
2023-06-01 11:00:00,0,11,280.0,0.196078431,0.636887608,0.860068259
2023-06-01 12:00:00,0,12,120.0,0.18627450950000002,0.538904899,0.849829352
2023-06-01 13:00:00,0,13,270.0,0.176470588,0.585014409,0.883959044
2023-06-01 14:00:00,0,14,180.0,0.303921569,0.553314121,0.870307167
2023-06-01 15:00:00,0,15,220.0,0.166666667,0.804034582,0.90443686
2023-06-01 16:00:00,0,16,220.0,0.196078431,0.613832853,0.894197952
2023-06-01 17:00:00,0,17,260.0,0.215686275,0.472622478,0.877133106
2023-06-01 18:00:00,0,18,230.0,0.166666667,0.259365994,0.846416382
2023-06-01 19:00:00,0,19,230.0,0.225490196,0.066282421,0.825938567
2023-06-01 20:00:00,0,20,240.0,0.205882353,0.0,0.819112628
2023-06-01 21:00:00,0,21,220.0,0.235294118,0.0,0.80887372
2023-06-01 22:00:00,0,22,220.0,0.147058824,0.0,0.798634812
2023-06-01 23:00:00,0,23,250.0,0.156862745,0.0,0.795221843
2023-06-02 00:00:00,0,24,180.0,0.107843137,0.0,0.781569966
2023-06-02 01:00:00,1,1,190.0,0.068627451,0.0,0.784982935
2023-06-02 02:00:00,1,2,170.0,0.147058824,0.0,0.771331058
2023-06-02 03:00:00,1,3,170.0,0.078431373,0.0,0.76109215
2023-06-02 04:00:00,1,4,170.0,0.117647059,0.0,0.764505119
2023-06-02 05:00:00,1,5,180.0,0.068627451,0.0,0.76109215
2023-06-02 06:00:00,1,6,170.0,0.12745098,0.002881844,0.76109215
2023-06-02 07:00:00,1,7,180.0,0.176470588,0.069164265,0.784982935
2023-06-02 08:00:00,1,8,180.0,0.176470588,0.198847262,0.805460751
2023-06-02 09:00:00,1,9,170.0,0.254901961,0.371757925,0.836177474
2023-06-02 10:00:00,1,10,180.0,0.205882353,0.317002882,0.839590444
2023-06-02 11:00:00,1,11,170.0,0.235294118,0.5129683,0.883959044
2023-06-02 12:00:00,1,12,120.0,0.2009803925,0.288184438,0.812286689
2023-06-02 13:00:00,1,13,260.0,0.166666667,0.501440922,0.846416382
2023-06-02 14:00:00,1,14,270.0,0.235294118,0.925072046,0.894197952
2023-06-02 15:00:00,1,15,260.0,0.254901961,0.775216138,0.883959044
2023-06-02 16:00:00,1,16,120.0,0.24019607850000002,0.53314121,0.870307167
2023-06-02 17:00:00,1,17,270.0,0.225490196,0.340057637,0.85665529
2023-06-02 18:00:00,1,18,260.0,0.235294118,0.190201729,0.843003413
2023-06-02 19:00:00,1,19,260.0,0.264705882,0.09221902,0.825938567
2023-06-02 20:00:00,1,20,250.0,0.264705882,0.0,0.815699659
2023-06-02 21:00:00,1,21,220.0,0.147058824,0.0,0.812286689
2023-06-02 22:00:00,1,22,210.0,0.18627451,0.0,0.805460751
2023-06-02 23:00:00,1,23,200.0,0.18627451,0.0,0.805460751
2023-06-03 00:00:00,1,24,180.0,0.166666667,0.0,0.791808874
2023-06-03 01:00:00,2,1,170.0,0.264705882,0.0,0.788395904
2023-06-03 02:00:00,2,2,180.0,0.156862745,0.0,0.802047782
2023-06-03 03:00:00,2,3,220.0,0.156862745,0.0,0.798634812
2023-06-03 04:00:00,2,4,230.0,0.225490196,0.0,0.798634812
2023-06-03 05:00:00,2,5,210.0,0.196078431,0.0,0.791808874
2023-06-03 06:00:00,2,6,220.0,0.254901961,0.002881844,0.791808874
2023-06-03 07:00:00,2,7,220.0,0.156862745,0.051873199,0.802047782
2023-06-03 08:00:00,2,8,230.0,0.205882353,0.089337176,0.802047782
2023-06-03 09:00:00,2,9,260.0,0.196078431,0.276657061,0.819112628
2023-06-03 10:00:00,2,10,260.0,0.18627451,0.556195965,0.866894198
2023-06-03 11:00:00,2,11,250.0,0.205882353,0.634005764,0.85665529
2023-06-03 12:00:00,2,12,240.0,0.166666667,0.536023055,0.866894198
2023-06-03 13:00:00,2,13,230.0,0.196078431,0.720461095,0.880546075
2023-06-03 14:00:00,2,14,240.0,0.235294118,0.757925072,0.901023891
2023-06-03 15:00:00,2,15,240.0,0.264705882,0.798270893,0.894197952
2023-06-03 16:00:00,2,16,230.0,0.274509804,0.665706052,0.897610922
2023-06-03 17:00:00,2,17,250.0,0.254901961,0.403458213,0.860068259
2023-06-03 18:00:00,2,18,230.0,0.264705882,0.175792507,0.846416382
2023-06-03 19:00:00,2,19,220.0,0.225490196,0.037463977,0.829351536
2023-06-03 20:00:00,2,20,220.0,0.333333333,0.0,0.822525597
2023-06-03 21:00:00,2,21,230.0,0.196078431,0.0,0.815699659
2023-06-03 22:00:00,2,22,240.0,0.166666667,0.0,0.819112628
2023-06-03 23:00:00,2,23,220.0,0.294117647,0.0,0.819112628
2023-06-04 00:00:00,2,24,190.0,0.156862745,0.0,0.812286689
2023-06-04 01:00:00,3,1,210.0,0.294117647,0.0,0.812286689
2023-06-04 02:00:00,3,2,220.0,0.215686275,0.0,0.802047782
2023-06-04 03:00:00,3,3,210.0,0.235294118,0.0,0.784982935
